Datetime,Open,High,Low,Close,Adj Close,Volume
2021-02-16 09:30:00-05:00,245.0299988,246.113205,243.7949982,244.233902,244.233902,4801266
2021-02-16 10:30:00-05:00,244.2400055,244.7299957,243.602005,243.8099976,243.8099976,2474768
2021-02-16 11:30:00-05:00,243.8000031,244.2799988,242.9199982,243.8800049,243.8800049,3521397
2021-02-16 12:30:00-05:00,243.8600006,244.7799988,243.6799927,244.5700073,244.5700073,1384614
2021-02-16 13:30:00-05:00,244.5700073,244.5800018,243.4499969,243.9299927,243.9299927,2764474
2021-02-16 14:30:00-05:00,243.9499969,244.0800018,243.1499939,243.3800049,243.3800049,1983836
2021-02-16 15:30:00-05:00,243.3600006,244.0299988,243.1799927,243.7299957,243.7299957,2435615
2021-02-17 09:30:00-05:00,241.3200073,242.8000031,240.9400024,241.4400024,241.4400024,6967010
2021-02-17 10:30:00-05:00,241.4400024,242.9199982,241.1600037,241.7599945,241.7599945,3577892
2021-02-17 11:30:00-05:00,241.7299957,242.4600067,241.3099976,242.4100037,242.4100037,1488676
2021-02-17 12:30:00-05:00,242.4100037,243.3800049,242.3300018,243.2899933,243.2899933,1432802
2021-02-17 13:30:00-05:00,243.3099976,243.7799072,242.9400024,243.3408051,243.3408051,1328196
2021-02-17 14:30:00-05:00,243.3399963,243.7400055,243.0467072,243.6699982,243.6699982,1237547
2021-02-17 15:30:00-05:00,243.6799927,244.3099976,243.6000061,244.2599945,244.2599945,1619031
2021-02-18 09:30:00-05:00,241.8000031,242.4398956,240.8600006,241.5200043,241.5200043,4050166
2021-02-18 10:30:00-05:00,241.5498962,242.3399963,241.1999969,241.8999939,241.8999939,1848369
2021-02-18 11:30:00-05:00,241.8899994,242.0399933,240.9949951,241.8600006,241.8600006,1789458
2021-02-18 12:30:00-05:00,241.8600006,242.8000031,241.5299988,242.5700073,242.5700073,1387633
2021-02-18 13:30:00-05:00,242.5899963,243.079895,242.3701019,242.9100037,242.9100037,1133298
2021-02-18 14:30:00-05:00,242.8899994,243.7299957,242.8399963,243.4900055,243.4900055,1407420
2021-02-18 15:30:00-05:00,243.4700012,243.9299927,243.2299957,243.7799988,243.7799988,2355610
2021-02-19 09:30:00-05:00,243.3099976,243.3999939,241.2400055,241.6699982,241.6699982,6791792
2021-02-19 10:30:00-05:00,241.6900024,242.6600037,241.3500061,242.2100067,242.2100067,2485988
2021-02-19 11:30:00-05:00,242.2149963,242.5,240.8399963,240.8999939,240.8999939,2234799
2021-02-19 12:30:00-05:00,240.8999939,241.1799927,240.1799927,240.8099976,240.8099976,2267630
2021-02-19 13:30:00-05:00,240.8099976,241.7400055,240.5,240.7400055,240.7400055,2137776
